,tweet,language
482,,hi
483,,hi
484,,hi
485,rt bjp national spokesperson amp state prabhari ji attended ningol chakouba function delhi along hon,en
486,rt,hi
487,proffessional,hi
488,meerut tomorrow participate program organised professional youth register participate,en
489,paid homage departed souls martyrs yesterday ambush manipur event organised delhi today om shanti folded hands,en
490,along minister manipur govt sh ji attended function delhi ningol chakouba akin bhaiya duj reflecting beautiful bond sisters brothers,en
491,,hi
492,,hi
493,,hi
494,,hi
495,,hi
496,,hi
497,dbt,hi
498,pm shri transfers first instalment pmay g lakh beneficiaries tripura,en
499,shri addresses th anniversary celebrations swarna bharat trust venkatachalam andhra pradesh,en
500,rt pm today first instalment pradhan mantri awaas yojana gramin pmay g would given lakh benefici,en
501,folded hands,hi
502,,hi
503,,hi
504,,hi
505,shri inaugurates sansad khel mahakumbh basti uttar pradesh,hi
506,lakh houses already built pm awas yojana urban rs lakh crore invested far ensure houses urban poor,en
507,strongly condemn dastardly attack assam rifles ccpur manipur extremely saddened learn martyrdom co wife sincere prayers martyrs may god heal injured,en
508,jam j jam j,hi
509,,hi
510,,hi
511,,hi
512,shri lays foundation state university azamgarh uttar pradesh,en
513,,hi
514,,hi
515,,hi
516,,hi
517,,hi
518,,hi
519,,hi
520,,hi
521,shri addresses akhil bharatiya rajbhasha sammelan varanasi,hi
522,rahul gandhi speaks training session party maharashtra attacks hindus calls violent result muslim mobs go rampage maharashtra indulging huge violence done pretext violence tripura never happened,en
523,pm,en
524,pm,en
525,rt,hi
526,rt,hi
527,rt,hi
528,pm,en
529,rt,hi
530,rt,hi
531,rt isis,hi
532,rt,hi
533,rt,hi
534,rt,hi
535,rt media briefing dr bjp hq new delhi,en
536,pm shri launches rbi retail direct scheme amp reserve bank integrated ombudsman scheme,en
537,,hi
538,rt attended felicitation ceremony shri karam shyam joining bjp today lilong chajing leader great wisdom,en
539,,hi
540,along president smt ji offered humble prayers heiyangthang lairembi temple manipur today commonly known kamakhya mandir manipur may supreme mother bless us folded hands,en
541,warm birthday wishes honourable cm nagaland shri ji may blessed long healthy life,en
542,manipur thanks shri ji successfully completing corona vaccination thanks manipur cm sh ji vaccinations manipur strive vaccination,en
543,addressing rally langthabal assembly constituency manipur today,und
544,rt hon ble mla langthabal ac shri karam shyam joined bjp presence bjp nat l spokesperson amp state prabhari,en
545,participating massive welcome rally langthabal assembly constituency manipur organised local mla shri karamshyam ji joined bjp today honourable cm sh ji amp state bjp president smt ji blessed rally,en
546,mla langthabal constituency manipur shri k shyam ji joined bjp today presence party president smt ji office bearers party headquarters imphal,en
547,participated office bearers meeting along party president smt ji sangathan mantri sh abhay giri ji planned upcoming program president shri ji,en
548,took part outreach programme takhel lamlai mandal manipur along state president smt ji state gs sh ji,en
549,folded hands folded hands thanks,en
550,rt welcomed national spokesperson state prabhari shri ji imphal along gs,en
551,rt dr ji bjp national spokesperson prabhari manipur reached imphal gs shri l deven singh along shri,en
552,received president smt ji imphal,en
553,reached imphal welcomed state gs sh ji state secretary sh bikram ji eminent karyakartas,en
554,wishing shri ji birthday may blessed long healthy life,en
555,,hi
556,,hi
557,world science day peace development let us pledge promote innovation science amp technology research skill knowledge transformation change world enriching people lives,en
558,pm,en
559,inc need commission,en
560,rt inc means need commission need commission,hi
561,rt inc means need commission would projection upa tenure deal within every,en
562,rt,hi
563,rt h,hi
564,rt,hi
565,rt,hi
566,rt live press conference bjp national spokesperson dr bjp hq,en
567,exact way defining present,en
568,legends,en
569,sometimes pictures speak speech story india transformation heart touching amp amazing folded hands,en
570,rt delhi two manipur mlas rajkumar imo singh yamthong haokip join bjp presence union minister sarbananda sonowal amp,en
571,pm,en
572,pm,en
573,rt shri called upon bjp national president shri joining bjp party headquarters new delhi,en
574,,hi
575,,hi
576,,hi
577,,hi
578,,hi
579,pm shri lays foundation stone national highways facilitate movement devotees pandharpur,en
580,rt welcomed manipur congress mlas shri rajkumar emo singh shri yangthom haokip family new delhi,en
581,shri r k imo singh ji shri yamthong haokip ji mlas manipur assembly joined today took blessings national party president sh ji amp gs org sh ji,en
582,rt former congress mlas manipur join bjp party headquarters new delhi,en
583,rt,hi
584,,hi
585,folded hands,hi
586,rt submitted report findings odissa visit committee ghastly incident kidnapping torture murder,en
587,attended national executive meeting today inspiring hear beloved pm shri ji amp national president sh ji,en
588,,hi
589,,hi
590,rt,or
591,rt,or
592,connection btw gst compensation amp state ability cut vat fuel gst compensation due agreed gst council pending amount would due completion first yrs gst yet excuses,en
593,,hi
594,kejriwal ji fact,in
595,central govt distributing mt nfsa mt pmgkay times scheme proposed delhi govt delhi govt procures mt non com parables compared nfsa distribution continue without issue vat petrol sir,en
596,bharat ka tikakaran kailash kher vaccination song latest ye via,tl
597,rt warm greetings lovely ppl manipur occasion ningol chakouba celebrated strengthen,en
598,wishing union minister shri ji birthday may mahaprabhu jagannath bless long healthy life jai jagannath folded hands,en
599,,hi
600,rt,hi
601,rt special arrangements made srikhetra dwarka badrinath amp rameswaram watch pm modi visit kedarnath amp inauguration,en
602,rt mahodadhi alati religious events odisha mark inauguration shankaracharya statue pm modi kedarnath,en
603,rt,or
604,wishing sisters brothers manipur happy prosperous,en
605,along shri ji amp leaders odisha offered humble prayers mahaprabhu jagannath ji puri shrimandir jai jagannath folded hands,en
606,,or
607,,or
608,rt thrilled join jagannath dham puri thousands across india pm kedarnath amp bhagwan adi shankarach,en
609,,hi
610,,hi
611,,hi
612,holistic way,hi
613,,hi
614,,hi
615,,hi
616,,hi
617,,hi
618,,hi
619,pm shri ji inaugurates infrastructure projects amp lay foundation stone multiple projects,en
620,,hi
621,folded hands,mr
622,,hi
623,along union minister sh ji vp sh ji inaugurated grand spiritual arrangements made shri jagannath puri dham watch historic visit pm shri ji shri kedarnath ji today also performed aarti sh jagannath,en
624,jaganath puri along union minister sh ji amp vp shri ji amp leaders odisha fortunate watch live telecast historic inauguration shri shankaracharya murti kedarnath ji honourable pm shri ji,en
625,,or
626,,or
627,,or
628,,hi
629,,or
630,,or
631,,or
632,pm shri ji arrives kedarnath offer prayers shrine also inaugurate adi shankaracharya samadhi shortly,en
633,,hi
