,tweet,language,mentions
225,response by indian authorities has been great this time around not the usual messy and chaotic approach of past,en,[]
226,rt by contrast here s how india screened passengers from wuhan landing at new delhi since february screeners in full protect,en,"[{'screen_name': 'balajis', 'name': 'balaji srinivasan', 'id': '2178012643'}]"
227,rt the first years you measure success with grades only to realize that the real value is in learning to learn and critica,en,"[{'screen_name': 'valaafshar', 'name': 'vala afshar', 'id': '259725229'}]"
228,rt a few operating assumptions relating to indian investing that i find useful any bank could go bust at some point govt,en,"[{'screen_name': 'thelonghol', 'name': 'hari nair', 'id': '56701465'}]"
229,rt jurgen klopp s response when asked about coronavirus is absolutely class this is spot on it s impossible to dislike this,en,"[{'screen_name': 'eplbible', 'name': 'epl bible', 'id': '595343731'}]"
230,rt the reaction to any exponential risk like covid is either too early or too late hard to time it just right if too,en,"[{'screen_name': 'matthuang', 'name': 'matt huang', 'id': '44322763'}]"
231,rt some of my favorite takeaways amp quotes from keith rabois interviews,en,"[{'screen_name': 'eriktorenberg', 'name': 'erik torenberg', 'id': '1475495658'}]"
232,rt a reminder that new conversations are old conversations and comedy used to be a lot more political and that was a good thin,en,"[{'screen_name': 'davepell', 'name': 'dave pell', 'id': '224'}]"
233,interesting you mapped it or is it available on some website,en,[]
234,great going,en,[]
235,rt i just launched my first book upgrade your mindset in this book you will learn why mindset is critical to success,en,"[{'screen_name': 'techtello', 'name': 'vinita bansal', 'id': '1186257160314900480'}]"
236,the site seems down,en,[]
237,does a sale or coupons increase a company s business or decrease it,en,[]
238,,hi,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
239,well at some point you have to ask as to whether you own the photos or the photos own you,en,[]
240,with kids you accumulate them fast i keep the videos as playlist easier to play back when you feel nostalgic which is couple times a year,en,[]
